,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),Date,Close
0,2019-05-03,28.0,35.0,0.5555555555555556,28.0,32.0,0.5333333333333333,11.0,18.0,0.6206896551724138,15.0,11.0,0.4230769230769231,11.0,11.0,0.5,20.0,19.0,0.4871794871794872,12.0,30.0,0.7142857142857143,30.0,25.0,0.4545454545454545,5/3/19,255.03
1,2019-05-02,28.0,32.0,0.5333333333333333,11.0,18.0,0.6206896551724138,15.0,11.0,0.4230769230769231,11.0,11.0,0.5,20.0,19.0,0.4871794871794872,12.0,30.0,0.7142857142857143,30.0,25.0,0.4545454545454545,30.0,26.0,0.4642857142857143,5/2/19,244.100006
2,2019-05-01,11.0,18.0,0.6206896551724138,15.0,11.0,0.4230769230769231,11.0,11.0,0.5,20.0,19.0,0.4871794871794872,12.0,30.0,0.7142857142857143,30.0,25.0,0.4545454545454545,30.0,26.0,0.4642857142857143,24.0,23.0,0.4893617021276596,5/1/19,234.009995
3,2019-04-30,15.0,11.0,0.4230769230769231,11.0,11.0,0.5,20.0,19.0,0.4871794871794872,12.0,30.0,0.7142857142857143,30.0,25.0,0.4545454545454545,30.0,26.0,0.4642857142857143,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,4/30/19,238.690002
4,2019-04-29,11.0,11.0,0.5,20.0,19.0,0.4871794871794872,12.0,30.0,0.7142857142857143,30.0,25.0,0.4545454545454545,30.0,26.0,0.4642857142857143,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,19.0,23.0,0.5476190476190477,4/29/19,241.470001
5,2019-04-26,30.0,25.0,0.4545454545454545,30.0,26.0,0.4642857142857143,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,19.0,23.0,0.5476190476190477,14.0,12.0,0.4615384615384616,10.0,16.0,0.6153846153846154,6.0,15.0,0.7142857142857143,4/26/19,235.139999
6,2019-04-25,30.0,26.0,0.4642857142857143,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,19.0,23.0,0.5476190476190477,14.0,12.0,0.4615384615384616,10.0,16.0,0.6153846153846154,6.0,15.0,0.7142857142857143,16.0,22.0,0.5789473684210527,4/25/19,247.630005
7,2019-04-24,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,19.0,23.0,0.5476190476190477,14.0,12.0,0.4615384615384616,10.0,16.0,0.6153846153846154,6.0,15.0,0.7142857142857143,16.0,22.0,0.5789473684210527,17.0,19.0,0.5277777777777778,4/24/19,258.660004
8,2019-04-23,23.0,22.0,0.4888888888888889,19.0,23.0,0.5476190476190477,14.0,12.0,0.4615384615384616,10.0,16.0,0.6153846153846154,6.0,15.0,0.7142857142857143,16.0,22.0,0.5789473684210527,17.0,19.0,0.5277777777777778,20.0,17.0,0.4594594594594595,4/23/19,263.899994
9,2019-04-22,19.0,23.0,0.5476190476190477,14.0,12.0,0.4615384615384616,10.0,16.0,0.6153846153846154,6.0,15.0,0.7142857142857143,16.0,22.0,0.5789473684210527,17.0,19.0,0.5277777777777778,20.0,17.0,0.4594594594594595,18.0,16.0,0.4705882352941176,4/22/19,262.75
10,2019-04-18,16.0,22.0,0.5789473684210527,17.0,19.0,0.5277777777777778,20.0,17.0,0.4594594594594595,18.0,16.0,0.4705882352941176,6.0,14.0,0.7,9.0,6.0,0.4,15.0,16.0,0.5161290322580645,33.0,31.0,0.484375,4/18/19,273.26001
11,2019-04-17,17.0,19.0,0.5277777777777778,20.0,17.0,0.4594594594594595,18.0,16.0,0.4705882352941176,6.0,14.0,0.7,9.0,6.0,0.4,15.0,16.0,0.5161290322580645,33.0,31.0,0.484375,31.0,36.0,0.5373134328358209,4/17/19,271.230011
12,2019-04-16,20.0,17.0,0.4594594594594595,18.0,16.0,0.4705882352941176,6.0,14.0,0.7,9.0,6.0,0.4,15.0,16.0,0.5161290322580645,33.0,31.0,0.484375,31.0,36.0,0.5373134328358209,8.0,18.0,0.6923076923076923,4/16/19,273.359985
13,2019-04-15,18.0,16.0,0.4705882352941176,6.0,14.0,0.7,9.0,6.0,0.4,15.0,16.0,0.5161290322580645,33.0,31.0,0.484375,31.0,36.0,0.5373134328358209,8.0,18.0,0.6923076923076923,20.0,12.0,0.375,4/15/19,266.380005
14,2019-04-12,15.0,16.0,0.5161290322580645,33.0,31.0,0.484375,31.0,36.0,0.5373134328358209,8.0,18.0,0.6923076923076923,20.0,12.0,0.375,31.0,27.0,0.4655172413793103,16.0,23.0,0.5897435897435898,17.0,11.0,0.3928571428571429,4/12/19,267.700012
15,2019-04-11,33.0,31.0,0.484375,31.0,36.0,0.5373134328358209,8.0,18.0,0.6923076923076923,20.0,12.0,0.375,31.0,27.0,0.4655172413793103,16.0,23.0,0.5897435897435898,17.0,11.0,0.3928571428571429,18.0,30.0,0.625,4/11/19,268.420013
